"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2024","AQS","060370016","1","6.7","ppb","6","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/02/2024","AQS","060370016","1","12.7","ppb","11","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/03/2024","AQS","060370016","1","11.2","ppb","10","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/04/2024","AQS","060370016","1","14.7","ppb","13","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/05/2024","AQS","060370016","1","23.2","ppb","22","Glendora","20","83.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/06/2024","AQS","060370016","1","10.8","ppb","9","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/07/2024","AQS","060370016","1","9.6","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/08/2024","AQS","060370016","1","8.4","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/09/2024","AQS","060370016","1","21.6","ppb","20","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/10/2024","AQS","060370016","1","21","ppb","20","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/11/2024","AQS","060370016","1","18.3","ppb","17","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
